id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_508,442,77.0,29,22,0,1,0,0
ID_265,446,76.8,240,186,26,41,11,3
ID_464,447,76.7,108,94,50,2,1,0
ID_280,447,76.7,106,88,0,5,0,0
ID_1,447,76.7,483,365,0,0,0,27
ID_383,450,76.5,131,110,0,0,0,2
ID_526,450,76.5,54,40,50,2,1,0
ID_312,452,76.3,137,107,33,6,2,2
ID_553,452,76.3,69,57,16,6,1,1
ID_385,452,76.3,120,91,25,8,2,6
ID_391,455,76.2,82,63,50,6,3,2
ID_93,456,76.1,239,181,27,18,5,4
ID_323,456,76.1,171,133,28,14,4,0
ID_94,456,76.1,187,145,37,8,3,2
ID_286,459,76.0,165,127,0,3,0,8
ID_170,459,76.0,158,120,0,0,0,11
ID_138,461,75.8,293,228,29,17,5,19
ID_533,461,75.8,94,75,0,3,0,2
ID_117,463,75.7,303,231,43,44,19,8
ID_321,464,75.6,171,146,33,3,1,7
ID_439,464,75.6,48,36,0,3,0,0
ID_43,466,75.4,200,173,0,1,0,2
ID_579,466,75.4,57,50,0,3,0,0
ID_491,468,75.3,86,68,0,0,0,2
ID_349,468,75.3,126,95,11,9,1,7
ID_504,468,75.3,123,103,18,11,2,0
ID_530,468,75.3,61,47,25,4,1,1
ID_367,472,75.0,96,74,25,4,1,1
ID_307,472,75.0,92,69,0,0,0,0
ID_343,472,75.0,92,66,33,3,1,3
ID_612,472,75.0,28,21,0,0,0,2
ID_445,476,74.8,84,66,50,2,1,0
ID_133,476,74.8,139,105,0,3,0,0
ID_476,476,74.8,52,39,100,1,1,1
ID_46,479,74.7,47,35,0,3,0,0
ID_317,479,74.7,204,154,30,20,6,3
ID_122,481,74.6,164,121,0,0,0,9
ID_571,482,74.3,30,25,0,0,0,0
ID_483,482,74.3,100,78,33,3,1,1
ID_494,484,74.0,76,58,20,5,1,4
ID_616,484,74.0,31,23,0,0,0,2
ID_63,486,73.8,345,247,0,0,0,52
ID_315,487,73.7,152,112,25,8,2,3
ID_578,487,73.7,57,47,0,7,0,1
ID_314,489,73.6,231,194,20,10,2,0
ID_401,489,73.6,97,75,0,0,0,1
ID_232,489,73.6,195,168,0,0,0,5
ID_404,492,73.5,57,42,27,11,3,0
ID_88,493,73.4,220,156,0,0,0,25
ID_157,494,73.3,159,117,42,21,9,4
ID_474,494,73.3,95,70,20,5,1,2
ID_319,496,73.2,88,66,0,2,0,0
ID_208,497,73.0,157,116,30,13,4,2
ID_48,497,73.0,100,76,42,7,3,1
ID_432,497,73.0,85,59,0,0,0,5
ID_569,497,73.0,57,41,20,10,2,0
ID_152,501,72.9,157,116,0,6,0,1
ID_412,502,72.8,105,82,12,8,1,5
ID_222,503,72.7,196,144,13,15,2,10
ID_16,504,72.6,89,75,25,4,1,1
ID_278,505,72.4,180,132,26,30,8,10
ID_459,505,72.4,114,86,60,5,3,4
ID_591,505,72.4,27,24,0,0,0,0
ID_540,508,72.3,37,31,0,0,0,0
ID_420,509,72.2,67,48,50,2,1,4
ID_429,510,72.0,114,83,0,0,0,11
ID_245,511,71.5,259,229,0,0,0,7
ID_202,511,71.5,140,98,53,13,7,4
ID_301,511,71.5,88,66,0,1,0,0
ID_584,511,71.5,23,17,0,1,0,0
ID_257,515,71.4,182,129,0,0,0,10
ID_189,516,71.3,214,152,4,24,1,8
ID_261,517,71.0,200,142,0,0,0,18
ID_528,518,70.7,95,65,50,4,2,2
ID_495,519,70.5,76,61,0,0,0,1
ID_544,519,70.5,57,44,25,4,1,3
ID_586,519,70.5,56,43,0,0,0,0
ID_513,519,70.5,37,26,0,0,0,2
ID_190,523,70.3,200,144,27,11,3,10
ID_325,523,70.3,124,87,10,10,1,3
ID_214,523,70.3,108,75,0,1,0,0
ID_258,526,70.2,145,101,0,0,0,7
ID_120,526,70.2,233,166,0,0,0,34
ID_244,528,70.0,197,149,56,16,9,4
ID_238,528,70.0,130,92,20,5,1,0
ID_201,528,70.0,103,71,0,1,0,0
ID_458,528,70.0,76,53,0,9,0,2
ID_421,532,69.7,98,69,11,9,1,3
ID_442,533,69.6,154,135,28,7,2,4
ID_558,534,69.4,42,35,20,5,1,1
ID_262,535,69.2,154,106,0,0,0,10
ID_111,536,69.0,258,190,20,25,5,9
ID_357,536,69.0,161,113,14,14,2,3
ID_479,538,68.8,79,57,50,6,3,2
ID_532,538,68.8,58,40,28,7,2,2
ID_293,540,68.7,144,99,11,9,1,2
ID_361,541,68.3,64,51,0,0,0,0
ID_55,542,68.2,489,332,0,0,0,53
ID_501,543,68.0,55,37,50,2,1,4
ID_596,544,67.7,28,21,0,2,0,0
ID_461,545,67.3,58,40,100,1,1,1
ID_418,545,67.3,86,67,60,5,3,6
ID_400,547,67.2,110,77,7,14,1,0
ID_353,548,67.0,84,57,0,3,0,2
ID_91,549,66.9,277,187,0,16,0,5
ID_199,549,66.9,194,153,21,14,3,4
ID_187,551,66.6,130,91,16,12,2,9
ID_414,551,66.6,112,78,25,8,2,4
ID_521,553,66.3,72,48,0,8,0,0
ID_193,554,66.2,163,110,16,6,1,2
ID_614,555,66.0,38,25,0,0,0,1
